,pays,Freq,pays2
1,Abkhazia,6,Asia
2,Afghanistan,43,Asia
3,Africa,74,Africa
4,Albania,519,Europe
5,Algeria,665,Arabic
6,American Samoa,1,USA
7,Andorra,491,Europe
8,Angola,1487,Africa
9,Anguilla,9,Central America
10,Antigua & Barbuda,179,Central America
11,Argentina,83713,South America
12,Armenia,278,Europe
13,Aruba,49,Central America
14,Asia,1401,Asia
15,Australasia,10364,Australia
16,Australia,293822,Australia
17,Australia & New Zealand,10417,Australia
18,Austria,66951,Europe
19,Azerbaijan,1170,Asia
20,"Bahamas, The",440,Central America
21,Bahrain,57,Arabic
22,Bangladesh,232,Asia
23,Barbados,3271,Central America
24,Belarus,5264,Europe
25,Belgian Congo,62,Africa
26,Belgium,150649,Europe
27,Belize,111,Central America
28,Benelux,8240,Europe
29,Benin,182,Africa
30,Bermuda,142,Central America
31,Bhutan,19,Asia
32,Bolivia,8499,South America
33,Bosnia & Herzegovina,3380,Europe
34,Botswana,40,Africa
35,Brazil,178002,Brazil
36,British Virgin Islands,6,Central America
37,Brunei,61,Asia
38,Bulgaria,20958,Europe
39,Burkina Faso,34,Africa
40,Burma,76,Asia
41,Cambodia,101,Asia
42,Cameroon,246,Africa
43,Canada,448310,Canada
44,Cape Verde,216,Africa
45,Cayman Islands,88,Central America
46,Central African Republic,12,Africa
47,Central America,238,Central America
48,Chile,33486,South America
49,China,17480,Asia
50,Colombia,39486,South America
51,Comoros,5,Africa
52,"Congo, Democratic Republic of the",312,Africa
53,"Congo, Republic of the",150,Africa
54,Cook Islands,14,Australia
55,Costa Rica,5245,Central America
56,Croatia,18179,Europe
57,Cuba,3383,Central America
58,Cura�ao,142,Central America
59,Cyprus,1384,Europe
60,Czech Republic,43580,Europe
61,Czech Republic & Slovakia,3135,Europe
62,Czechoslovakia,39501,Europe
63,Dahomey,61,Africa
64,Denmark,82274,Europe
65,Djibouti,6,Africa
66,Dominica,84,Central America
67,Dominican Republic,1523,Central America
68,Dutch East Indies,28,Central America
69,East Timor,35,Asia
70,Ecuador,14657,South America
71,Egypt,4990,Arabic
72,El Salvador,2048,Central America
73,Equatorial Guinea,4,Africa
74,Eritrea,42,Africa
75,Estonia,8377,Europe
76,Ethiopia,473,Africa
77,Europe,458785,Europe
78,Falkland Islands,2,UK
79,Faroe Islands,666,Europe
80,Fiji,104,Australia
81,Finland,114138,Europe
82,France,605622,France
83,France & Benelux,2285,France
84,French Guiana,70,France
85,French Polynesia,146,France
86,Gabon,95,Africa
87,"Gambia, The",21,Africa
88,Georgia,1985,Europe
89,German Democratic Republic (GDR),16902,Germany
90,Germany,1073414,Germany
91,Germany & Switzerland,1345,Germany
92,"Germany, Austria, & Switzerland",12768,Germany
93,Ghana,1503,Africa
94,Gibraltar,19,UK
95,Greece,131826,Europe
96,Greenland,263,Europe
97,Grenada,38,Central America
98,Guadeloupe,449,France
99,Guam,38,Asia
100,Guatemala,4230,Central America
101,Guernsey,47,UK
102,Guinea,197,Africa
103,Guinea-Bissau,19,Africa
104,Gulf Cooperation Council,517,Arabic
105,Guyana,125,Central America
106,Haiti,538,Central America
107,Honduras,519,Central America
108,Hong Kong,16374,Asia
109,Hong Kong & Thailand,9,Asia
110,Hungary,50160,Europe
111,Iceland,9429,Europe
112,India,40695,Asia
113,Indonesia,32284,Asia
114,Iran,2138,Arabic
115,Iraq,172,Arabic
116,Ireland,37745,Europe
117,Israel,30329,Europe
118,Italy,509789,Italy
119,Ivory Coast,1138,Africa
120,Jamaica,70274,Central America
121,Japan,636149,Japan
122,Jersey,52,UK
123,Jordan,205,Arabic
124,Kazakhstan,834,Asia
125,Kenya,2694,Africa
126,Korea (pre-1945),2,Asia
127,Kosovo,338,Europe
128,Kuwait,150,Arabic
